Project_Name,Project_URL,Project_Hash,PYPI_TAG,func_to_trace,tests_to_run,num_runs,source
odinweb,https://github.com/python-odin/odinweb,198424133584acc18cb41c8d18d91f803abc810f,,,,20.0,flapy_input_flakyProj_2020.csv
symphony,https://github.com/SurrealAI/symphony,747b87eee20d48032b4a554950687d0b1209fd24,,,,20.0,flapy_input_flakyProj_2020.csv
Flask-JWT-Router,https://github.com/joegasewicz/Flask-JWT-Router,0fb1e256c81409be6f08d8be12f07e5f58b4f914,,,,20.0,flapy_input_flakyProj_2020.csv
djoser,https://github.com/sunscrapers/djoser,786edc2bb129d7343e54d59b15b682689f534e46,,,,20.0,flapy_input_flakyProj_2020.csv
iexfinance,https://github.com/addisonlynch/iexfinance,e502c671643a10121dd423c5665adc56b982199b,,,,20.0,flapy_input_flakyProj_2020.csv
accessify,https://github.com/dmytrostriletskyi/accessify,6b7cf8657ffe18cd6a43c6cfb73b071084f0331e,,,,20.0,flapy_input_flakyProj_2020.csv
argutil,https://github.com/cmccandless/argutil,15b4d309fefe7a2d7648dac3974bd22ba7b1030a,,,,20.0,flapy_input_flakyProj_2020.csv
citrine-python,https://github.com/CitrineInformatics/citrine-python,8fec512d0261ab7a5a94f5354022519a1dd81146,,,,20.0,flapy_input_flakyProj_2020.csv
config-better,https://github.com/kade-robertson/config-better,c14638da3fe95a669a04db2602e1f6ea15591c36,,,,20.0,flapy_input_flakyProj_2020.csv
deepdiff,https://github.com/seperman/deepdiff,df5f49046b3c39673003968fc484a6a733b24abc,,,,20.0,flapy_input_flakyProj_2020.csv
domain2idna,https://github.com/PyFunceble/domain2idna,39a1c4e1ebb877ed511e53b618fbe437a685c970,,,,20.0,flapy_input_flakyProj_2020.csv
fooof,https://github.com/voytekresearch/fooof,7a520c4f8ac3a44f4f18dc025b5e5d40049c9f2b,,,,20.0,flapy_input_flakyProj_2020.csv
harmonica,https://github.com/fatiando/harmonica,2980071fce37948f2d13d8b7120c96ed18923410,,,,20.0,flapy_input_flakyProj_2020.csv
livebridge,https://github.com/dpa-newslab/livebridge,d930e887faa2f882d15b574f0f1fe4a580d7c5fa,,,,20.0,flapy_input_flakyProj_2020.csv
nbless,https://github.com/marskar/nbless,9b6df96dd09b135232679c202d829c5bcca8a51e,,,,20.0,flapy_input_flakyProj_2020.csv
pygsheets,https://github.com/nithinmurali/pygsheets,01b9548dd56b50fa93e4a92ab879b048ae282158,,,,20.0,flapy_input_flakyProj_2020.csv
qer,https://github.com/sputt/qer,c77e6777967ee660447beb9522c867a7233ef78d,,,,20.0,flapy_input_flakyProj_2020.csv
rdftools,https://github.com/johnstonskj/rdftools,fa71b69b1604128349d879a51a44789919c3bd53,,,,20.0,flapy_input_flakyProj_2020.csv
tunacell,https://github.com/LeBarbouze/tunacell,837d57e1e6caeddf2e6bcdd2db2986fb456dd605,,,,20.0,flapy_input_flakyProj_2020.csv
Breathe,https://github.com/mrob95/Breathe,4600818e24f4156cd7bb8cc0f43886b27323968e,,,,20.0,flapy_input_flakyProj_2020.csv
GC-analysis,https://github.com/tonyyzy/GC_analysis,a8c7be317d24703272d8fa3fb76a97b4d8d7b38f,,,,20.0,flapy_input_flakyProj_2020.csv
aiotasks,https://github.com/cr0hn/aiotasks,ec485c84db55227c9283319a9c58401e294a06ff,,,,20.0,flapy_input_flakyProj_2020.csv
bitmex-websocket,https://github.com/joliveros/bitmex-websocket,dcefdaffd226ee30308bfca86aab065dc57817d0,,,,20.0,flapy_input_flakyProj_2020.csv
cloud-validation-framework,https://github.com/prancer-io/cloud-validation-framework,94522590d9881a5125d81da701a65f7f63383c0d,,,,20.0,flapy_input_flakyProj_2020.csv
coworks,https://github.com/gdoumenc/coworks,c574654a1e3d1cd4ad56b6f5912631230c37fdf3,,,,20.0,flapy_input_flakyProj_2020.csv
danlp,https://github.com/alexandrainst/danlp,0c7169e4c8b0595205fbb7bdf64ce4f2ca79edcc,,,,20.0,flapy_input_flakyProj_2020.csv
django-beam,https://github.com/django-beam/django-beam,43b2111f5c65937aa1e2cc9704b59796e982a805,,,,20.0,flapy_input_flakyProj_2020.csv
epic-lib,https://github.com/epic-kitchens/epic-lib,7f2499aff5fdb62a66e6da92322e5c060ea4a414,,,,20.0,flapy_input_flakyProj_2020.csv
giotto-time,https://github.com/giotto-ai/giotto-time,9c84a8fc1b9dc5769181ce0e9e9f44976884cd41,,,,20.0,flapy_input_flakyProj_2020.csv
poker,https://github.com/Chenyao2333/poker,49c0b791ac7caf86f946f06f5ff929120b3eb324,,,,20.0,flapy_input_flakyProj_2020.csv
req-compile,https://github.com/sputt/req-compile,c77e6777967ee660447beb9522c867a7233ef78d,,,,20.0,flapy_input_flakyProj_2020.csv
rockhound,https://github.com/fatiando/rockhound,c4d84b2628c4b0dd666ceb1b334647489fe85f17,,,,20.0,flapy_input_flakyProj_2020.csv
seccs,https://github.com/netleibi/seccs,927bcbe41d2db80281fff0b4a1cbedcaae0bfaf9,,,,20.0,flapy_input_flakyProj_2020.csv
subliminal,https://github.com/Diaoul/subliminal,a4113adb745dc5cd2da7254ee14802077237bb15,,,,20.0,flapy_input_flakyProj_2020.csv
todo-sync,https://github.com/tmurph/todo-sync,32915e9a1509aa2c4083613e256cb0d502c441aa,,,,20.0,flapy_input_flakyProj_2020.csv
OnToma,https://github.com/opentargets/OnToma,0a76f30c03eb44a62223a5c83f13e2f8d9ba67a4,,,,20.0,flapy_input_flakyProj_2020.csv
astwro,https://github.com/majkelx/astwro,0486bc622759ea214a376a9e4035d6d3e350f61b,,,,20.0,flapy_input_flakyProj_2020.csv
fake-useragent,https://github.com/hellysmile/fake-useragent,a55c4dc294883c73231e085fca34ab5a8e2bc1f1,,,,20.0,flapy_input_flakyProj_2020.csv
gramhopper,https://github.com/OrBin/gramhopper,9396533d10bb469c77985ad931033f400479809b,,,,20.0,flapy_input_flakyProj_2020.csv
imgload,https://github.com/frenos/imgload,b6f8decf3bc753b85ec7ec27bc25373feb99b478,,,,20.0,flapy_input_flakyProj_2020.csv
krllint,https://github.com/d4nuu8/krllint,2f9376cdae14c201364d9c31b4c19a8ff2f708d2,,,,20.0,flapy_input_flakyProj_2020.csv
policyd-rate-limit,https://github.com/nitmir/policyd-rate-limit,79eb4e1760fb9c0ea6e205cb6a0953be8105e0d4,,,,20.0,flapy_input_flakyProj_2020.csv
psrqpy,https://github.com/mattpitkin/psrqpy,f4e7d685ebb4b3bf086e3f998f68cc3c4e1914fb,,,,20.0,flapy_input_flakyProj_2020.csv
storages,https://github.com/thoth-station/storages,599f6fb69c6ce9fba1ea7581337d1c4b274a091d,,,,20.0,flapy_input_flakyProj_2020.csv
StrangeCase,https://github.com/colinta/StrangeCase,dd2385745dba1211439fc1d0b0dae72b30e4b3b2,,,,20.0,flapy_input_flakyProj_2020.csv
basic_auth,https://github.com/rorymurdock/basic_auth,622f2133c13988cec549f4ea55bed14e50f90876,,,,20.0,flapy_input_flakyProj_2020.csv
chazutsu,https://github.com/chakki-works/chazutsu,734828f2f05799a1d59d9280a032bf5996fe3261,,,,20.0,flapy_input_flakyProj_2020.csv
devtracker,https://github.com/ConSou/devtracker,ea892d6d48aa5d4627b429469b59ae3f0ce7f10f,,,,20.0,flapy_input_flakyProj_2020.csv
gamry-parser,https://github.com/bcliang/gamry-parser,0e1f81fb8fd3e433e0df945a85b133ed70a416e4,,,,20.0,flapy_input_flakyProj_2020.csv
h5nav,https://github.com/clapeyre/h5nav,595040c2f9b65196ceaf18d1c2c58d848466a22c,,,,20.0,flapy_input_flakyProj_2020.csv
libearth,https://github.com/earthreader/libearth,71d2f3246eb0b6a3668a64e2242616d20b1d7dcd,,,,20.0,flapy_input_flakyProj_2020.csv
linux_aio,https://github.com/isac322/linux_aio,007d033b42703e9bb4d7cd99ca50e54108215d46,,,,20.0,flapy_input_flakyProj_2020.csv
mountepy,https://github.com/butla/mountepy,796595f0011cc4a62cd7796dd71c3681008a4731,,,,20.0,flapy_input_flakyProj_2020.csv
plcx,https://github.com/Cognexa/plcx,2756c0ba78c4c9e572d95ba002708957bc55d4fa,,,,20.0,flapy_input_flakyProj_2020.csv
py-finstmt,https://github.com/whoopnip/py-finstmt,820407a87f03377072b545923febd1086def1bec,,,,20.0,flapy_input_flakyProj_2020.csv
py2pack,https://github.com/openSUSE/py2pack,9c6f8eb3fd5d481aecbe4091ca0974e5a077db48,,,,20.0,flapy_input_flakyProj_2020.csv
